t,S,E,I,H,C,R,D
0,5499950,35,15,0,0,0,0
0.25,5499947.671,35.83649691,15.52213178,0.092450687,0.001121431,0.877080066,1.30E-05
0.5,5499945.504,36.48355419,16.03895531,0.18357943,0.00332927,1.78666892,5.06E-05
0.75,5499943.179,37.27151922,16.55672267,0.274026253,0.006071851,2.712148886,0.000103124
1,5499940.529,38.34647769,17.08117063,0.363221275,0.009862,3.670102589,0.000191799
1.25,5499937.798,39.45671549,17.61743101,0.451343072,0.01466142,4.66155463,0.000328361
1.5,5499935.25,40.34207988,18.16152046,0.538473475,0.02043943,5.686717477,0.000523978
1.75,5499932.622,41.27023865,18.70986724,0.624667629,0.027168114,6.745572184,0.000789516
2,5499929.629,42.51687488,19.2688987,0.71005738,0.034822104,7.838836123,0.001135597
2.25,5499926.551,43.7973914,19.84447114,0.794804671,0.043380359,8.967588236,0.001572644
2.5,5499923.683,44.8193831,20.43169525,0.878992212,0.052825611,10.13224322,0.002110923
2.75,5499920.727,45.88498315,21.02617443,0.96267207,0.063142009,11.3329434,0.00276057
3,5499917.366,47.30454722,21.63480931,1.045980765,0.074315256,12.57064015,0.003531615
3.25,5499913.911,48.75868332,22.2639014,1.129087086,0.086334686,13.846673,0.004434018
3.5,5499910.694,49.91972257,22.90772088,1.212069782,0.099192735,15.16162098,0.0054777
3.75,5499907.382,51.12699896,23.56111828,1.294972562,0.112882387,16.5157462,0.00667256
4,5499903.616,52.72860259,24.23163725,1.377933257,0.127397421,17.91020689,0.008028486
4.25,5499899.747,54.36689275,24.92617495,1.461125336,0.142734817,19.34658537,0.009555384
4.5,5499896.146,55.6752458,25.63817289,1.544621147,0.158894236,20.82560331,0.011263204
4.75,5499892.439,57.03378635,26.36173852,1.628453774,0.175875232,22.34762063,0.013161948
5,5499888.227,58.83216669,27.10520109,1.712761644,0.193677589,23.91399355,0.015261673
5.25,5499883.899,60.67038674,27.87618114,1.797723065,0.212304077,25.5265461,0.017572518
5.5,5499879.873,62.13856737,28.66725951,1.883403383,0.231759921,27.18613421,0.02010472
5.75,5499875.728,63.66194594,29.4717714,1.969824305,0.252049734,28.89320491,0.022868626
6,5499871.019,65.67625288,30.29896325,2.057125601,0.27317794,30.64931511,0.025874683
6.25,5499866.182,67.73438817,31.15729782,2.145491908,0.295151896,32.45654062,0.029133467
6.5,5499861.682,69.3783085,32.03843296,2.234981926,0.317981342,34.31587159,0.032655699
6.75,5499857.05,71.08337588,32.93487528,2.325605985,0.341674999,36.22783851,0.036452244
7,5499851.788,73.33658482,33.85691915,2.417506762,0.366241082,38.19420953,0.040534112
7.25,5499846.383,75.63835244,34.81398823,2.510877452,0.391690818,40.2173301,0.044912475
7.5,5499841.355,77.47692648,35.79673203,2.605770943,0.418037851,42.29833031,0.049598689
7.75,5499836.18,79.38350043,36.79675172,2.702186514,0.445294474,44.43782484,0.054604288
8,5499830.301,81.90220889,37.82552597,2.800271746,0.473472218,46.63780951,0.059940983
8.25,5499824.262,84.47492183,38.89356366,2.900231073,0.502585804,48.90092336,0.065620681
8.5,5499818.645,86.52994829,39.99040133,3.002112597,0.5326525,51.22844619,0.071655507
8.75,5499812.864,88.66075156,41.10664063,3.105904958,0.563687921,53.62108077,0.078057798
9,5499806.296,91.47521892,42.25509123,3.211762887,0.595706708,56.08107162,0.0848401
9.25,5499799.551,94.34986899,43.44748115,3.319905021,0.628726954,58.61138068,0.092015184
9.5,5499793.276,96.64609237,44.67211165,3.430375756,0.662769494,61.21345046,0.099596077
9.75,5499786.818,99.02685118,45.91847492,3.54315346,0.697853233,63.88807801,0.107596054
10,5499779.482,102.1712003,47.20087209,3.658402408,0.733995901,66.63778183,0.116028624
10.25,5499771.947,105.3826892,48.5323971,3.776358631,0.771219017,69.46588097,0.124907564
10.5,5499764.937,107.9479812,49.89997603,3.897063874,0.809547101,72.37399652,0.134246942
10.75,5499757.724,110.607634,51.29186598,4.020486479,0.849002456,75.36302795,0.144061107
11,5499749.529,114.1201694,52.72403681,4.146802787,0.889606026,78.43579702,0.154364683
11.25,5499741.112,117.7076481,54.21111055,4.276269605,0.931382939,81.59601914,0.165172597
11.5,5499733.283,120.573277,55.73848001,4.408927038,0.974361635,84.84551255,0.176500109
11.75,5499725.226,123.5442661,57.29302515,4.544733498,1.018568041,88.185289,0.188362802
12,5499716.072,127.4678836,58.89258141,4.68388002,1.064026535,91.61850695,0.200776573
12.25,5499706.671,131.4751799,60.55347904,4.826647797,1.110766137,95.14932267,0.213757666
12.5,5499697.925,134.6761508,62.25939988,4.973076234,1.158819539,98.77977288,0.227322702
12.75,5499688.926,137.9947819,63.99568708,5.123113745,1.208216604,102.5109931,0.241488673
13,5499678.702,142.377459,65.78226082,5.276968823,1.258985437,106.3465164,0.256272929
13.25,5499668.2,146.853583,67.63736023,5.434950905,1.311159314,110.2909901,0.271693217
13.5,5499658.432,150.4290408,69.54275695,5.597099576,1.364775589,114.3466935,0.287767712
13.75,5499648.379,154.1359056,71.48207848,5.763353009,1.419868438,118.5148992,0.304515011
14,5499636.959,159.0312672,73.47757409,5.933940085,1.476470062,122.7995575,0.321954123
14.25,5499625.23,164.0309924,75.5496155,6.10920263,1.534618414,127.205863,0.340104503
14.5,5499614.319,168.0246857,77.67784135,6.28918125,1.594355992,131.7363651,0.358986097
